Mockup type,Mockup id,Size index,Size,DefaultSize
pizza box mockup generator,156210,1,"200,200,40",默认值
,,2,"305,305,50",
,,3,"405,405,60",
customizable shipping boxes,200010,1,"305,229,152",
,,2,"406,305,203",默认值
,,3,"508,406,305",
customizable packaging boxes,150010,1,"120,140,80",
,,2,"300,200,60",默认值
,,3,"440,340,130",
custom envelope,245032,1,"146,111",默认值
,,2,"241,104",
,,3,"226,98",
mailer box custom,150010,1,"120,140,80",
,,2,"300,200,60",默认值
,,3,"440,340,130",
custom folding boxes,10001001,1,"60,60,60",默认值
,,2,"120,60,160",
,,3,"203,152,76",
cardboard box design,200010,1,"406,305,305",默认值
,,2,"457,457,406",
,,3,"610,457,457",
design a subscription box,150010,1,"152,102,51",
,,2,"254,203,76",默认值
,,3,"381,254,127",
customize shoe box,151030,1,"330,220,120",默认值
,,2,"360,240,130",
,,3,"380,250,140",
Package designer,150010,1,"120,140,80",
,,2,"300,200,60",默认值
,,3,"440,340,130",
design my business card,242002,1,"89,51",默认值
,,2,"64,64",
,,3,"89,38",
custom box,200010,1,"305,229,152",
,,2,"406,305,203",默认值
,,3,"508,406,305",
,100010,1,"40,40,160",
,,2,"120,60,160",默认值
,,3,"180,80,80",
packaging toys,171530,1,"180,120,140",
,,2,"210,140,160",默认值
,,3,"250,150,180",
gable box mockup,112311,1,"152,102,102",
,,2,"241,127,127",默认值
,,3,"203,124,133",
square box mockup generator,10001001,1,"80,80,80",默认值
,,2,"100,100,150",
,,3,"150,150,180",
vertical box mockup,100240,1,"50,50,150",默认值
,,2,"38,38,185",
,,3,"55,55,140",
spice box mockup,102010,1,"190,60,300",默认值
,,2,"210,70,330",
,,3,"240,65,340",
small box mockup,10001001,1,"80,80,40",默认值
,,2,"120,80,50",
,,3,"110,70,35",
rectangular box mockup,100010,1,"228,114,114",默认值
,,2,"180,80,80",
,,3,"40,40,160",
long box mockup,100240,1,"120,120,300",默认值
,,2,"180,40,40",
,,3,"350,80,60",
flat box mockup,150010,1,"160,120,20",
,,2,"240,180,30",默认值
,,3,"315,202,62",
cube box mockup,10001001,1,"60,60,60",
,,2,"100,100,100",默认值
,,3,"150,150,150",
burger box mockup,158130,1,"110,110,80",默认值
,,2,"130,130,85",
,,3,"140,140,90",
product display mockup,175010,1,"406,305,1524",默认值
,,2,"236,254,1626",	
,,3,"610,406,1219",	
pos display mockup,175010,1,"250,200,600",默认值
,,2,"406,305,1524",	
,,3,"610,406,1219",	
pasta box mockup,10900104,1,"75,40,250",默认值
,,2,"80,50,300",	
,,3,"60,30,200",	
mithai box mockup,152020,1,"152,102,38",默认值
,,2,"203,152,51",	
,,3,"229,178,64",	
medicine box mockup,10004001,1,"100,30,70",
,,2,"120,40,80",默认值
,,3,"150,45,90",	
board game box,160160,1,"200,200,50",
,,2,"305,305,76",默认值
,,3,"400,300,100",	
